"Twn Num","Twn Dir","Rng Num","Rng Dir","Sec","Quarter","Lib Num","API Num","Operator","Well Name","Field","Type","State","County","Photos","Thin Sec","Analysis","Latitude","Longitude","Source","Security Flag","Formation","Age","Min Depth","Max Depth"
"21","S","8","E","17","SWSW","T645","4301530251","WOLF ENERGY","1-17 ANDOVER FED","WILDCAT","FULL","UT","EMERY","F","F","F","38.98529","-111.0533","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","KAIBAB /LM/","PERM","5147","5207"
"157","N","91","W","7","SWNW","T646","3306100451","GARY SAMUEL JR","7-5 JOHNSON","WILDCAT","SLABBED","ND","MOUNTRAIL","F","F","T","48.439313","-102.492039","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","RIVAL","MISS","8047","8108"
"6","S","94","W","34","SESWNW","T649","0504560011","CER CORPORATION","MWX-2 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","T","T","T","39.48318","-107.880799","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","4870","4956"
"6","S","94","W","34","SESWNW","T649","0504560011","CER CORPORATION","MWX-2 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","T","T","T","39.48318","-107.880799","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","5485","5500"
"6","S","94","W","34","SESWNW","T649","0504560011","CER CORPORATION","MWX-2 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","T","T","T","39.48318","-107.880799","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","5551","5581"
"6","S","94","W","34","SESWNW","T649","0504560011","CER CORPORATION","MWX-2 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","T","T","T","39.48318","-107.880799","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","6390","6568"
"6","S","94","W","34","SESWNW","T649","0504560011","CER CORPORATION","MWX-2 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","T","T","T","39.48318","-107.880799","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","7080","7388"
"6","S","94","W","34","SESWNW","T649","0504560011","CER CORPORATION","MWX-2 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","T","T","T","39.48318","-107.880799","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","COZZETTE","CRET","7823","7907"
"6","S","94","W","34","SWNW","T650","0504506460","CER CORPORATION","MWX-3 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","F","T","T","39.48373","-107.880699","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","4887","4921"
"6","S","94","W","34","SWNW","T650","0504506460","CER CORPORATION","MWX-3 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","F","T","T","39.48373","-107.880699","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","6431","6528"
"6","S","94","W","34","SWNW","T650","0504506460","CER CORPORATION","MWX-3 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","F","T","T","39.48373","-107.880699","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","6875","6910"
"6","S","94","W","34","SWNW","T650","0504506460","CER CORPORATION","MWX-3 SUPERIOR","RULISON","THIN SLAB","CO","GARFIELD","F","T","T","39.48373","-107.880699","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","ROLLINS","CRET","7536","7564"
"29","N","59","E","16","NESW","T652","2508521597","UPTON RESOURCES INC","1-16 STATE","WILDCAT","FULL","MT","BLAINE","F","F","T","48.262758","-104.058965","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","NISKU","DEVO","10634","10684"
"31","N","59","E","5","NWNE","T653","2509121694","UPTON RESOURCES INC","2-5 FED","RUSH MOUNTAIN","FULL","MT","SHERIDAN","F","T","F","48.474129","-104.074381","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","RATCLIFFE","MISS","8141","8173"
,,,,,,"F176",,"DEPARTMENT OF DEFENSE","MW-2-CC","CAMP STANLEY","SLABBED","TX","BEXAR","T","F","F","29.705278","-98.612778","FROM STATE RECORDS",,"GLEN ROSE LM","CRETACEOUS","1","492"
"37","N","53","E","23","C SWSW","B970","2509121328","I M C EXPLORATION CO","1 HASS WILLIAM HARLOW","WILDCAT","SLABBED","MT","SHERIDAN","T","T","F","48.941146","-104.703533","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","WINNIPEGOSIS","DEVO","9144","9153"
"155","N","96","W","34","NWNW","T655","3310501429","AMERADA HESS CORP","34-11 BROWNELL","CAPA DEEP","SLABBED","ND","WILLIAMS","F","F","T","48.208628","-103.018903","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","INTERLAKE","SILU","11407","11472"
"33","N","86","W","27","SESE","T656","4902522757","AMERADA HESS CORP","27-34 SADDLE ROCK UNIT","SADDLE ROCK","SLABBED","WY","NATRONA","T","F","F","42.79779","-107.12669","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MUDDY","CRET","7380","7414"
